Gasoline Consuption by Country,,,
Rank,Country,Consumption (Thousand Barrels per Day),
1,United States,"8,682.00",
2,China,"1,908.00",
3,Japan,978,
4,Russian Federation,819,
5,Canada,791,
6,Mexico,777,
7,Indonesia,530,
8,Brazil,530,
9,Saudi Arabia,482,
10,Germany,427,
11,India,368,
12,"Iran, Islamic Republic Of",352,
13,Australia,344,
14,United Kingdom,320,
15,Venezuela,271,
16,Italy,216,
17,South Africa,198,
18,Malaysia,196,
19,"Korea, Republic Of",189,
20,France,180,
21,Nigeria,179,
22,"Taiwan, Province Of China",169,
23,Iraq,148,
24,Argentina,133,
25,Egypt,126,
26,Thailand,123,
27,Viet Nam,118,
28,Spain,114,
29,United Arab Emirates,112,
30,Netherlands,96,
31,Kazakhstan,89,
32,Poland,88,
33,Colombia,83,
34,Algeria,81,
35,Libya,80,
36,Pakistan,78,
37,Ukraine,76,
38,Philippines,68,
39,Greece,68,
40,Switzerland,68,
41,Sweden,67,
42,Ecuador,65,
43,Israel,63,
44,Chile,62,
45,Kuwait,61,
46,Oman,56,
47,New Zealand,53,
48,Turkey,41,
49,Austria,40,
50,Czech Republic,39,
51,Lebanon,39,
52,Finland,36,
53,Peru,36,
54,Syrian Arab Republic,33,
55,Yemen,33,
56,Denmark,33,
57,Romania,32,
58,Qatar,31,
59,Hungary,30,
60,Ireland,29,
61,Azerbaijan,29,
62,Belgium,28,
63,Uzbekistan,28,
64,Turkmenistan,27,
65,Dominican Republic,27,
66,Jordan,26,
67,Portugal,26,
68,Angola,25,
69,Afghanistan,25,
70,Belarus,25,
71,Ghana,24,
72,Norway,23,
73,Guatemala,22,
74,Kyrgyzstan,21,
75,Bolivia,20,
76,Singapore,20,
77,Sri Lanka,18,
78,Costa Rica,17,
79,Bahrain,16,
80,Panama,16,
81,Kenya,14,
82,Croatia,14,
83,Morocco,13,
84,Myanmar,13,
85,Benin,13,
86,Slovakia,13,
87,Tunisia,12,
88,Trinidad and Tobago,12,
89,Slovenia,12,
90,Bulgaria,12,
91,Honduras,12,
92,Uruguay,11,
93,El Salvador,10,
94,Jamaica,10,
95,Cuba,10,
96,Georgia,9.9,
97,Serbia,9.7,
98,Hong Kong,9.4,
99,Namibia,9.2,
100,Mongolia,9.1,
101,Cameroon,8.7,
102,Cyprus,8.5,
103,Paraguay,8.5,
104,Botswana,8.2,
105,Luxembourg,8.1,
106,"Tanzania, United Republic Of",7.4,
107,Bangladesh,6.5,
108,Uganda,6.4,
109,Brunei Darussalam,6.1,
110,"Congo, The Democratic Republic Of The",6,
111,Estonia,5.8,
112,Nicaragua,5.7,
113,Zambia,5.4,
114,Latvia,5.1,
115,Bosnia and Herzegovina,4.5,
116,"Korea, Democratic People's Republic Of",4.4,
117,Cambodia,4.2,
118,Mozambique,4.1,
119,Zimbabwe,4.1,
120,"Moldova, Republic Of",3.9,
121,Ethiopia,3.9,
122,Bahamas,3.6,
123,Togo,3.4,
124,C“te D'ivoire,3.3,
125,Lithuania,3.3,
126,Iceland,3.2,
127,Armenia,3.2,
128,Suriname,3.2,
129,Burkina Faso,3.1,
130,Haiti,3,
131,Mauritius,2.9,
132,Congo,2.9,
133,Senegal,2.9,
134,Nepal,2.7,
135,"Macedonia, The Former Yugoslav Republic Of",2.6,
136,Guyana,2.6,
137,Albania,2.3,
138,Barbados,2.2,
139,Swaziland,2.1,
140,Tajikistan,2.1,
141,Guinea,2,
142,Madagascar,1.8,
143,Malawi,1.8,
144,Malta,1.7,
145,Niger,1.7,
146,Mali,1.7,
147,Gambia,1.6,
148,Sierra Leone,1.6,
149,R‚union,1.6,
150,Macao,1.5,
151,New Caledonia,1.5,
152,Liberia,1.4,
153,Papua New Guinea,1.4,
154,Gabon,1.3,
155,Aruba,1.3,
156,Rwanda,1.2,
157,French Polynesia,1.1,
158,Saint Lucia,1.1,
159,Antigua and Barbuda,1,
160,Belize,1,
161,Fiji,1,
162,Bermuda,0.9,
163,Montenegro,0.9,
164,Somalia,0.8,
165,Maldives,0.7,
166,Cayman Islands,0.7,
167,Grenada,0.7,
168,Gibraltar,0.6,
169,Djibouti,0.6,
170,Lao People's Democratic Republic,0.6,
171,Lesotho,0.5,
172,Guinea-Bissau,0.5,
173,Mauritania,0.5,
174,Equatorial Guinea,0.5,
175,Burundi,0.5,
176,Central African Republic,0.5,
177,Samoa,0.5,
178,Saint Vincent and the Grenadines,0.4,
179,Solomon Islands,0.4,
180,Seychelles,0.4,
181,Faroe Islands,0.4,
182,Greenland,0.3,
183,Dominica,0.3,
184,Bhutan,0.3,
185,American Samoa,0.3,
186,Montserrat,0.3,
187,Saint Kitts and Nevis,0.3,
188,Timor-Leste,0.3,
189,Tonga,0.3,
190,"Virgin Islands, British",0.3,
191,Chad,0.2,
192,Sao Tome and Principe,0.2,
193,Comoros,0.2,
194,Cape Verde,0.2,
195,Eritrea,0.2,
196,Western Sahara,0.1,
197,Cook Islands,0.1,
198,Nauru,0.1,
199,Vanuatu,0.1,
