"Unemployment rate as of Jan 1, 2019",,,
Rank,Country,Unemployment rate (%),
1,Burkina Faso,77,
2,Syria,50,
3,Senegal,48,
4,Haiti,40.6,
5,Kenya,40,
6,Djibouti,40,
7,"Congo, Republic of the",36,
8,Marshall Islands,36,
9,Namibia,34,
10,Kiribati,30.6,
11,Kosovo,30.5,
12,Libya,30,
13,American Samoa,29.8,
14,Lesotho,28.1,
15,Gabon,28,
16,Swaziland,28,
17,West Bank,27.9,
18,Gaza Strip,27.9,
19,South Africa,27.5,
20,Venezuela,27.1,
21,Yemen,27,
22,"Korea, North",25.6,
23,Mozambique,24.5,
24,Grenada,24,
25,Afghanistan,23.9,
26,Dominica,23,
27,Nauru,23,
28,Macedonia,22.4,
29,French Polynesia,21.8,
30,Greece,21.5,
31,Bosnia and Herzegovina,20.5,
32,Malawi,20.4,
33,Botswana,20,
34,Saint Lucia,20,
35,Sudan,19.6,
36,Armenia,18.9,
37,Saint Vincent and the Grenadines,18.8,
38,Jordan,18.3,
39,Ethiopia,17.5,
40,Spain,17.2,
41,Nigeria,16.5,
42,"Micronesia, Federated States of",16.2,
43,Montenegro,16.1,
44,Iraq,16,
45,Tunisia,15.5,
46,Zambia,15,
47,Sierra Leone,15,
48,New Caledonia,14.7,
49,Serbia,14.1,
50,Saint Helena,14,
51,Albania,13.8,
52,Cook Islands,13.1,
53,Brazil,12.8,
54,Croatia,12.4,
55,Jamaica,12.2,
56,Egypt,12.2,
57,Sao Tome and Principe,12.2,
58,Niue,12,
59,Ghana,11.9,
60,Iran,11.8,
61,Georgia,11.8,
62,Algeria,11.7,
63,Italy,11.3,
64,Zimbabwe,11.3,
65,Northern Mariana Islands,11.2,
66,Guyana,11.1,
67,Antigua and Barbuda,11,
68,Turkmenistan,11,
69,Turkey,10.9,
70,Puerto Rico,10.8,
71,Virgin Islands,10.4,
72,Tanzania,10.3,
73,Mauritania,10.2,
74,Morocco,10.2,
75,Barbados,10.1,
76,"Bahamas, The",10.1,
77,Turks and Caicos Islands,10,
78,Lebanon,9.7,
79,Cote d'Ivoire,9.4,
80,France,9.4,
81,Uganda,9.4,
82,Colombia,9.3,
83,Ukraine,9.2,
84,Greenland,9.1,
85,Cape Verde,9,
86,Belize,9,
87,Suriname,8.9,
88,Portugal,8.9,
89,Qatar,8.9,
90,Wallis and Futuna,8.8,
91,Saint Pierre and Miquelon,8.7,
92,Latvia,8.7,
93,Equatorial Guinea,8.6,
94,Finland,8.5,
95,India,8.5,
96,Argentina,8.4,
97,Costa Rica,8.1,
98,Slovakia,8.1,
99,San Marino,8.1,
100,Mongolia,8,
101,Anguilla,8,
102,Mali,7.9,
103,Aruba,7.7,
104,Uruguay,7.6,
105,Belgium,7.1,
106,Mauritius,7.1,
107,Lithuania,7.1,
108,Kyrgyzstan,7.1,
109,Bermuda,7,
110,El Salvador,7,
111,Central African Republic,6.9,
112,Brunei,6.9,
113,Togo,6.9,
114,Peru,6.9,
115,Sweden,6.7,
116,Chile,6.7,
117,Ireland,6.7,
118,Angola,6.6,
119,Slovenia,6.6,
120,Comoros,6.5,
121,Nicaragua,6.4,
122,Canada,6.3,
123,Bulgaria,6.2,
124,Pakistan,6,
125,Panama,6,
126,Saudi Arabia,6,
127,Estonia,5.8,
128,Eritrea,5.8,
129,Luxembourg,5.8,
130,Denmark,5.7,
131,Philippines,5.7,
132,Paraguay,5.7,
133,Australia,5.6,
134,Montserrat,5.6,
135,Honduras,5.6,
136,Austria,5.5,
137,Indonesia,5.4,
138,Russia,5.2,
139,Samoa,5.2,
140,Dominican Republic,5.1,
141,Azerbaijan,5,
142,Kazakhstan,5,
143,Uzbekistan,5,
144,Trinidad and Tobago,4.9,
145,Romania,4.9,
146,Poland,4.9,
147,Netherlands,4.9,
148,New Zealand,4.7,
149,Malta,4.6,
150,Ecuador,4.6,
151,Fiji,4.5,
152,Guam,4.5,
153,Saint Kitts and Nevis,4.5,
154,East Timor,4.4,
155,United Kingdom,4.4,
156,United States,4.4,
157,Sri Lanka,4.4,
158,Bangladesh,4.4,
159,Cameroon,4.3,
160,Hungary,4.2,
161,Israel,4.2,
162,Norway,4.2,
163,Moldova,4.1,
164,Jersey,4,
165,Cayman Islands,4,
166,Bolivia,4,
167,Burma,4,
168,China,3.9,
169,Germany,3.8,
170,Taiwan,3.8,
171,"Korea, South",3.7,
172,Andorra,3.7,
173,Bahrain,3.6,
174,Mexico,3.4,
175,Malaysia,3.4,
176,Bhutan,3.2,
177,Switzerland,3.2,
178,Hong Kong,3.1,
179,Nepal,3,
180,Seychelles,3,
181,British Virgin Islands,2.9,
182,Japan,2.9,
183,Maldives,2.9,
184,Czech Republic,2.9,
185,Liberia,2.8,
186,Iceland,2.8,
187,Guinea,2.7,
188,Rwanda,2.7,
189,Cuba,2.6,
190,Papua New Guinea,2.5,
191,Tajikistan,2.4,
192,Liechtenstein,2.4,
193,Guatemala,2.3,
194,Faroe Islands,2.2,
195,Vietnam,2.2,
196,Singapore,2.2,
197,Macau,2,
198,Monaco,2,
199,Madagascar,1.8,
200,Palau,1.7,
201,Vanuatu,1.7,
202,United Arab Emirates,1.6,
203,Guernsey,1.2,
204,Isle of Man,1.1,
205,Kuwait,1.1,
206,Tonga,1.1,
207,Gibraltar,1,
208,Falkland Islands (Islas Malvinas),1,
209,Benin,1,
210,Belarus,0.8,
211,Laos,0.7,
212,Thailand,0.7,
213,Niger,0.3,
214,Cambodia,0.3,
215,Cocos (Keeling) Islands,0.1,
